Period,z_t,f_t,W_t,u2m,u2(t),u1,a,b,s(t)
1,2.40085807886404,-62.9087634927093,-7.86359543658866,0,16,0,9,16,15
2,2.32789288184539,-53.435074158553,-6.67938426981913,12.8045764206082,12.8045764206082,3.19542357939181,9,16,17
3,2.24919300500666,-44.5615993441128,-5.5701999180141,12.8045764206082,12.8045764206082,3.19542357939181,9,16,16
4,2.16330365277857,-36.4342694434259,-4.55428368042824,12.4154287031754,12.4154287031754,3.58457129682459,9,16,15
5,2.06805522773459,-29.0463125168778,-3.63078906460973,11.9956960267022,11.9956960267022,4.00430397329784,9,16,15
6,1.95996963188645,-22.3924325460376,-2.79905406825469,11.5376194814857,11.5376194814857,4.46238051851428,9,16,16
7,1.83286808094962,-16.4698753384799,-2.05873441730999,11.0296278812512,11.0296278812512,4.97037211874885,9,16,13
8,1.67416399552968,-11.2805031295522,-1.41006289119402,10.4531713700611,10.4531713700611,5.54682862993892,9,16,14
9,1.44420103267744,-6.83532643046971,-0.854415803808713,9.77529643173132,9.77529643173132,6.22470356826868,9,16,12
10,1.16652903957612,-3.16577492246453,-0.395721865308067,8.92887464282497,8.92887464282497,7.07112535717503,9,16,10
11,0,-0.374690339046262,-0.0468362923807828,7.70240550761302,7.70240550761302,8.29759449238699,9,16,0
12,1.09879016453174,1.5,0.166666666666667,6.61033122426466,6.61033122426466,9.38966877573534,10,17,10
