"Period","z_t","f_t","W_t","u2m","u2(t)","u1","a","b"
"1","17.737262136827","-253.18163784436","-126.59081892218","0","0","20","3","16"
"2","15.559834154511","-197.09698132724","-98.548490663618","23.649682849103","20","0","3","16"
"3","13.446153282646","-176.41226676304","-58.804088921014","26.605893205241","20","0","4","18"
"4","11.398772881436","-152.11653211583","-38.029133028956","27.229709770394","20","0","5","21"
"5","9.4210392799831","-125.82422555053","-25.164845110107","28.012819338847","20","0","6","25"
"6","7.518029171989","-99.067170635086","-16.511195105848","28.49693220359","20","0","7","30"
"7","5.6983431831251","-73.288260651134","-10.469751521591","28.263117839949","20","0","8","36"
"8","3.990507914336","-49.830567300769","-6.2288209125961","26.939604532961","20","0","9","43"
"9","2.3727040691697","-29.916531841518","-3.324059093502","24.217958528282","20","0","10","51"
"10","1.3572088082975","-14.554500184175","-1.4554500184175","19.95253957168","19.95253957168","0.047460428320171","11","60"
"11","0","-4.7146022798278","-0.42860020725707","13.840773736823","13.840773736823","6.1592262631767","12","70"
"12","1.0231801193077","1.2","0.1","8.8218572539334","8.8218572539334","11.178142746067","13","78"
